game_id,language,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages
game_0,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",[],agent2,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",[],agent3,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",[]
game_1,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA']","[3.333333333333334, 3.333333333333334, 6.666666666666667, 3.333333333333334, 3.333333333333334, 6.666666666666667, -3.333333333333333, 3.333333333333334, 6.666666666666667, 3.333333333333334]",[],agent2,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA']","[3.333333333333334, 3.333333333333334, -3.333333333333333, 3.333333333333334, 3.333333333333334, -3.333333333333333, 6.666666666666667, 3.333333333333334, -3.333333333333333, 3.333333333333334]",[],agent3,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 13.333333333333334, 6.666666666666667, 13.333333333333334, 13.333333333333334, 6.666666666666667, 6.666666666666667, 13.333333333333334, 6.666666666666667, 13.333333333333334]",[]
game_2,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 10.0, 3.333333333333334, 3.333333333333334]",[],agent2,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 10.0, 3.333333333333334, 3.333333333333334]",[],agent3,Claude35Haiku,strategic,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 13.333333333333334, 10.0, 13.333333333333334, 13.333333333333334]",[]
game_3,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[3.333333333333334, 3.333333333333334, 3.333333333333334, 6.666666666666667, 3.333333333333334, -3.333333333333333, 3.333333333333334, 3.333333333333334, 6.666666666666667, 0.0]",[],agent2,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 13.333333333333334, 13.333333333333334, 6.666666666666667, 13.333333333333334, 6.666666666666667, 13.333333333333334, 13.333333333333334, 6.666666666666667, 0.0]",[],agent3,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[3.333333333333334, 3.333333333333334, 3.333333333333334, -3.333333333333333, 3.333333333333334, 6.666666666666667, 3.333333333333334, 3.333333333333334, -3.333333333333333, 0.0]",[]
game_4,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[-3.333333333333333, -3.333333333333333, 0.0, -3.333333333333333, 0.0, -3.333333333333333, 0.0, -3.333333333333333, 0.0, 0.0]",[],agent2,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[6.666666666666667, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 0.0]",[],agent3,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[6.666666666666667, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 0.0]",[]
game_5,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA']","[3.333333333333334, -3.333333333333333, 6.666666666666667, -3.333333333333333, -3.333333333333333, 3.333333333333334, -3.333333333333333, 6.666666666666667, -3.333333333333333, -3.333333333333333]",[],agent2,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 13.333333333333334, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667]",[],agent3,Claude35Haiku,strategic,0,"['OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB']","[3.333333333333334, 6.666666666666667, -3.333333333333333, 6.666666666666667, 6.666666666666667, 3.333333333333334, 6.666666666666667, -3.333333333333333, 6.666666666666667, 6.666666666666667]",[]
game_6,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 3.333333333333334, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 3.333333333333334, 3.333333333333334, 10.0]",[],agent2,Claude35Haiku,strategic,0,"['OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionA', 'OptionA']","[10.0, 13.333333333333334, 10.0, 10.0, 10.0, 10.0, 13.333333333333334, 13.333333333333334, 3.333333333333334, 10.0]",[],agent3,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA']","[10.0, 3.333333333333334, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 3.333333333333334, 13.333333333333334, 10.0]",[]
game_7,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[3.333333333333334, -3.333333333333333, 3.333333333333334, 0.0, 3.333333333333334, 3.333333333333334, -3.333333333333333, 3.333333333333334, 3.333333333333334, 0.0]",[],agent2,Claude35Haiku,strategic,0,"['OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB']","[3.333333333333334, 6.666666666666667, 3.333333333333334, 0.0, 3.333333333333334, 3.333333333333334, 6.666666666666667, 3.333333333333334, 3.333333333333334, 0.0]",[],agent3,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 6.666666666666667, 13.333333333333334, 0.0, 13.333333333333334, 13.333333333333334, 6.666666666666667, 13.333333333333334, 13.333333333333334, 0.0]",[]
game_8,en,True,10,10,False,agent1,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 3.333333333333334, -3.333333333333333, 10.0, 3.333333333333334, 3.333333333333334, 3.333333333333334, 3.333333333333334]",[],agent2,Claude35Haiku,strategic,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA']","[10.0, 10.0, 10.0, 3.333333333333334, 6.666666666666667, 10.0, 13.333333333333334, 3.333333333333334, 13.333333333333334, 3.333333333333334]",[],agent3,Claude35Haiku,strategic,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB']","[10.0, 10.0, 10.0, 13.333333333333334, 6.666666666666667, 10.0, 3.333333333333334, 13.333333333333334, 3.333333333333334, 13.333333333333334]",[]
game_9,en,True,10,10,False,agent1,Claude35Haiku,selfish,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB']","[13.333333333333334, 13.333333333333334, 13.333333333333334, 6.666666666666667, 6.666666666666667, 3.333333333333334, 13.333333333333334, 3.333333333333334, 10.0, 13.333333333333334]",[],agent2,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA']","[3.333333333333334, 3.333333333333334, 3.333333333333334, -3.333333333333333, 6.666666666666667, 3.333333333333334, 3.333333333333334, 3.333333333333334, 10.0, 3.333333333333334]",[],agent3,Claude35Haiku,cooperative,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionA']","[3.333333333333334, 3.333333333333334, 3.333333333333334, 6.666666666666667, -3.333333333333333, 13.333333333333334, 3.333333333333334, 13.333333333333334, 10.0, 3.333333333333334]",[]
